read filetest1.txt
keyword -> thread
identifier -> Thread1
keyword -> features
identifier -> AP_Position_Input
assign -> :
keyword -> in
keyword -> event
keyword -> data
keyword -> port
identifier -> Nav_Types
assign -> ::
identifier -> Position_GPS
assign -> ;
keyword -> flows
identifier -> flow1
assign -> :
keyword -> flow
keyword -> path
identifier -> signal
assign -> ->
identifier -> result1
assign -> ;
keyword -> properties
identifier -> dispatch_protocol
assign -> =>
keyword -> access
Digit -> 50.0

assign -> ;
keyword -> end
identifier -> Thread1
assign -> ;
keyword -> thread
identifier -> Thread_2

keyword -> features
identifier -> AP_Position_Input
assign -> :
keyword -> in
keyword -> data
keyword -> port
identifier -> Nav_Types1
assign -> ::
identifier -> Nav_Types2
assign -> ::
identifier -> Position_GPS
assign -> ;
keyword -> flows
identifier -> flow1
assign -> :
keyword -> flow
keyword -> source
identifier -> signal
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> properties
keyword -> none
assign -> ;
keyword -> end
identifier -> Thread_2
assign -> ;
keyword -> thread
identifier -> Thread3d
keyword -> features
identifier -> AP_Position_Input
assign -> :
keyword -> out
keyword -> data
keyword -> port
identifier -> Nav_Types1
assign -> ::
identifier -> Nav_Types2
assign -> ::
identifier -> Position_GPS
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> flows
identifier -> flow1
assign -> :
keyword -> flow
keyword -> sink
identifier -> signal
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> properties
identifier -> size
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> ;
keyword -> end
identifier -> Thread3d
assign -> ;
keyword -> thread
identifier -> Thread4
keyword -> features
identifier -> AP_Position_Input
assign -> :
keyword -> in
keyword -> out
identifier -> parameter
identifier -> Nav_Types1
assign -> ::
identifier -> Nav_Types2
assign -> ::
identifier -> Position_GPS
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> flows
identifier -> flow1
assign -> :
keyword -> flow
keyword -> sink
identifier -> signal
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> properties
identifier -> size
assign -> =>
keyword -> constant
keyword -> access
Digit -> -50.0

assign -> ;
keyword -> end
identifier -> Thread4
assign -> ;
keyword -> thread
identifier -> Thread5
keyword -> features
identifier -> AP_Position_Input
assign -> :
keyword -> in
keyword -> out
keyword -> event
keyword -> port
assign -> ;
keyword -> flows
identifier -> flow1
assign -> :
keyword -> flow
keyword -> sink
identifier -> signal
assign -> {
identifier -> result1
assign -> ::
identifier -> result2
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> }
assign -> ;
keyword -> properties
identifier -> size
assign -> =>
keyword -> constant
keyword -> access
Digit -> 50.0

assign -> ;
keyword -> end
identifier -> Thread5
assign -> ;
keyword -> thread
identifier -> Thread6
keyword -> features
keyword -> none
assign -> ;
keyword -> flows
keyword -> none
assign -> ;
keyword -> properties
keyword -> none
assign -> ;
keyword -> end
identifier -> Thread6
assign -> ;
